엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,수입,단백질 보충제,품목,시기:2024년;국가:미국
미국,국가,수입,HS CODE 2106.90,품목,시기:2023년;국가:미국
미국,국가,수입,한국,국가,시기:2019년~2023년;수입액:793억 원|1018억 원|1116억 원|1378억 원|1115억 원
미국,국가,수입,중국,국가,시기:2019년~2023년;수입액:약 500억 원
미국,국가,수입,캐나다,국가,시기:2019년~2023년;수입액:약 1400억 원
미국,국가,수입,싱가포르,국가,시기:2019년~2023년;수입액:약 4200억 원
미국,국가,수입,유기농 스피루리나 파우더,품목,원산지:미국;중량:16oz;가격:21.95달러
미국,국가,수입,유기농 블루 스피루리나 파우더,품목,원산지:일본;중량:1.1oz;가격:21.99달러
미국,국가,수입,스피루리나 파우더,품목,원산지:미국;중량:6oz;가격:12.99달러
미국,국가,수입,단백질 쉐이크,품목,제품명:프로틴 쉐이크;효능:근육 회복;시기:2024년
미국,국가,수입,단백질 바,품목,제품명:단백질 바;효능:체중 관리
미국,국가,수입,단백질 보충제,품목,성분:유청 단백질 농축물;효능:근육 형성, 건강 증진
미국,국가,수입,스피루리나,성분,효능:항산화;시기:2024년
미국,국가,수입,비타민,성분,효능:면역력 증진
미국,국가,수입,미네랄,성분,효능:뼈 건강
미국,국가,수입,유청 단백질,성분,효능:근육 회복
미국,국가,수입,단백질,성분,효능:근육 형성;시기:2024년
미국,국가,수입,해조류,성분,효능:영양 공급;시기:2024년
미국,국가,수입,파우치,패키징,형태:소포장;용량:30회 분량
미국,국가,수입,팩,패키징,형태:다수 제품 묶음;수량:259개
미국,국가,수입,봉지,패키징,형태:소포장;수량:107개
미국,국가,수입,병,패키징,형태:용기;수량:44개
미국,국가,수입,파우치,패키징,형태:포장
미국,국가,수입,단백질 보충제,유통채널,유통경로:하이퍼마켓/슈퍼마켓;점유율:52.6%
미국,국가,수입,단백질 보충제,유통채널,유통경로:드럭스토어/약국;점유율:22.5%
미국,국가,수입,단백질 보충제,유통채널,유통경로:온라인;점유율:14.5%
미국,국가,수입,단백질 보충제,유통채널,유통경로:전문점;점유율:10.4%
미국,국가,수입,월마트,기업,유통채널:대형마트;특징:전국적 매장, 온라인 판매
미국,국가,수입,크로거,기업,유통채널:대형마트;특징:신선식품 배송, 온라인 판매
미국,국가,수입,시온마켓,기업,유통채널:한인마트;특징:한국식품, 온라인 판매
미국,국가,수입,에이치마트,기업,유통채널:아시안마트;특징:아시아 식품, 온라인 판매
미국,국가,수입,아마존,기업,유통채널:온라인;특징:글로벌 판매, 다양한 브랜드
미국,국가,수입,이베이,기업,유통채널:온라인;특징:경매, 고정가 판매
미국,국가,수입,유기농 스피루리나 파우더,성분,효능:항산화;원산지:미국;중량:16oz;가격:21.95달러
미국,국가,수입,유기농 블루 스피루리나 파우더,성분,효능:항산화;원산지:일본;중량:1.1oz;가격:21.99달러
미국,국가,수입,단백질 쉐이크,성분,효능:근육 회복;시기:2024년
미국,국가,수입,단백질 바,성분,효능:체중 관리
미국,국가,수입,단백질 보충제,라벨,표기:영어 필수;성분:유청 단백질 농축물, 천연 향료;알레르기:우유, 견과류, 대두, 밀, 계란
미국,국가,수입,단백질 보충제,인증,규격:cGMP, USDA Organic, 글루텐 프리, 비건
미국,국가,수입,단백질 보충제,포장,형태:파우치, 용량:30회 분량, 가격:6000원
미국,국가,수입,단백질 보충제,경쟁력,가격:중간, 포장:폴리에틸렌 파우치
미국,국가,수입,단백질 보충제,홍보,문구:고단백, 건강, 자연성 강조
미국,국가,수입,단백질 보충제,개선사항,내용:맛 다양화, 성분 투명성, 친환경 포장
미국,국가,수입,단백질 보충제,맛,효과:우유, 두유 맛 호응 기대
미국,국가,수입,단백질 보충제,성분,효능:영양 공급, 건강 증진, 지속가능성
