엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
밀키트,식품품목,생산,간편조리세트,식품품목,시기:2020년 10월;국가:한국
간편조리세트,식품품목,신설,즉석조리식품,식품품목,시기:2022년 1월
밀키트,식품품목,생산,가공식품,식품품목,시기:2022년 7월
밀키트,식품품목,생산,육류,식품품목,시기:2020년 이후
밀키트,식품품목,생산,채소류,식품품목,시기:2020년 이후
밀키트,식품품목,생산,생선,식품품목,시기:2020년 이후
밀키트,식품품목,생산,수산물,식품품목,시기:2023년
수산물,식품품목,생산,수산물 간편조리세트,식품품목,시기:2023년
수산물,식품품목,수입,수입국,국가,시기:2022년
수산물 간편조리세트,식품품목,생산,수산물,식품품목,시기:2023년
수입국,국가,수입,수산물,식품품목,시기:2022년
국내,국가,생산,밀키트,식품품목,시기:2020년 이후
이마트,기업,생산,피코크,기업,시기:2022년
콤플러스,기업,생산,시그니처,기업,시기:2022년
GS리테일,기업,생산,통우력 맑은탕,기업,시기:2023년
삼심해물,기업,생산,수산물 간편조리세트,기업,시기:2023년
푸드안푸드데크,기업,수상,대상,수상,시기:2022년
한슬제지,기업,개발,친환경 밀키트 포장재,기업,시기:2027년
유로모니터,시장조사기관,집계,글로벌 간편조리세트 시장,시장,시기:2022년
헬로 프레시,브랜드,시장점유,글로벌 간편조리세트 시장,시장,시기:2022년
마이세프,브랜드,시장점유,글로벌 간편조리세트 시장,시장,시기:2022년
홈셰프,브랜드,시장점유,글로벌 간편조리세트 시장,시장,시기:2022년
Gousto,브랜드,시장점유,글로벌 간편조리세트 시장,시장,시기:2022년
Yoshikei,브랜드,시장점유,일본 간편조리세트 시장,시장,시기:2022년
Kit Oisix,브랜드,시장점유,일본 간편조리세트 시장,시장,시기:2022년
Yamato,기업,생산,간편조리세트,식품품목,시기:2022년
통우력 맑은탕,식품품목,생산,수산물,식품품목,시기:2023년
친환경 포장재,재료,생산,종이 재생필름,재료,시기:2027년
무항생제 축산물,식품품목,생산,간편조리세트,식품품목,시기:2022년
유기농 무농약 채소,식품품목,생산,간편조리세트,식품품목,시기:2022년
수출액,경제지표,수입,간편조리세트,식품품목,시기:2022년
수출액,경제지표,생산,간편조리세트,식품품목,시기:2022년
구독 서비스,유통방식,생산,간편조리세트,식품품목,시기:2020년 이후
온라인 유통채널,유통방식,생산,간편조리세트,식품품목,시기:2020년 이후
대형마트,유통채널,생산,간편조리세트,식품품목,시기:2020년 이후
편의점,유통채널,생산,간편조리세트,식품품목,시기:2020년 이후
친환경 포장재,재료,생산,재생필프,재료,시기:2027년
냉동 간편조리세트,식품품목,생산,간편조리세트,식품품목,시기:2022년
냉장 간편조리세트,식품품목,생산,간편조리세트,식품품목,시기:2022년
채식 간편조리세트,식품품목,생산,간편조리세트,식품품목,시기:2022년
수산물 간편조리세트,식품품목,생산,수산물,식품품목,시기:2023년
