엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
러시아,국가,시장,건강기능식품,품목,시장규모:121452억루블;시기:2023
러시아,국가,시장,건강기능식품,품목,시장규모:121452억루블;시기:2023
러시아,국가,시장,건강기능식품,품목,연평균증가율:3.5
러시아,국가,시장,건강기능식품,품목,전년비증가율:1.1
러시아,국가,시장,건강기능식품,품목,시장규모:121452억루블;시기:2023
러시아,국가,유통채널,오프라인 유통채널,유통채널,점유율:82.9;시기:2023
러시아,국가,유통채널,온라인 유통채널,유통채널,점유율:17.1;시기:2023
러시아,국가,약국수,약국,수,약국수:78896;시기:2023
러시아,국가,약국체인,PR OTEK,기업,보유매장수:>4000;시기:2023
러시아,국가,약국체인,Zdorovya,기업,보유매장수:>2000;시기:2023
러시아,국가,약국체인,Planeta Zdorovya,기업,보유매장수:>1200;시기:2023
러시아,국가,시장,온라인 건강기능식품시장,품목,시장규모:7조7000억루블;시기:2023
러시아,국가,시장,온라인 건강기능식품시장,품목,전년비증가율:48.1
러시아,국가,시장,온라인 건강기능식품시장,품목,연평균증가율:43.6
러시아,국가,브랜드,Evalar,기업,매출액순위:1위;시기:2023
러시아,국가,브랜드,GL S Pharmaceuticals,기업,매출액순위:2위;시기:2023
러시아,국가,브랜드,Solgar,기업,매출액순위:3위;시기:2023
러시아,국가,브랜드,Maxler,기업,매출액순위:4위;시기:2023
러시아,국가,브랜드,Miopharm,기업,매출액순위:5위;시기:2023
러시아,국가,브랜드,Nutrilite,기업,매출액순위:2위;시기:2023
러시아,국가,브랜드,Magne B6,기업,매출액순위:3위;시기:2023
러시아,국가,브랜드,Solgar,기업,시장점유율:5.9;시기:2023
러시아,국가,브랜드,Nutrilite,기업,시장점유율:5.7;시기:2023
러시아,국가,브랜드,Magne B6,기업,시장점유율:4.2;시기:2023
러시아,국가,제품,NOW Foods,품목,기능:신체전반기능개선;제조국:미국
러시아,국가,제품,젤리·구미,품목,목적:아동용;특징:섭취용이
러시아,국가,제품,솔가르,품목,기능:면역력강화;제조국:미국
러시아,국가,제품,Ultra Balance,품목,목적:남성용종합비타민;제조국:러시아
러시아,국가,제품,Vitamin Garden,품목,목적:여성용비타민;제조국:러시아
러시아,국가,제품,Evalar,품목,목적:신체노화예방;제조국:러시아
러시아,국가,제품,Dr.Zubareva,품목,기능:스트레스완화;제조국:러시아
러시아,국가,제품,GL S,품목,기능:스트레스및피로퇴치;제조국:러시아
러시아,국가,제품,Miofarm,품목,기능:수면건강;제조국:러시아
러시아,국가,제품,Грасе Bio,품목,기능:수면개선;제조국:러시아
러시아,국가,제품,Solgar,품목,기능:관절기능개선;제조국:미국
러시아,국가,제품,Arum,품목,기능:관절·인대·연골보호;제조국:러시아
러시아,국가,제품,VitaMeal,품목,기능:관절·인대·연골건강;제조국:러시아
러시아,국가,제품,Akvion,품목,목적:여성생식기능회복;제조국:러시아
러시아,국가,제품,Pharmgroup,품목,목적:여성생식기관정상화;제조국:러시아
러시아,국가,제품,Evalar,품목,목적:생식기능개선;제조국:러시아
러시아,국가,제품,Гигиенические требования,품목,목적:생물학적활성첨가제생산및유통;시기:2024
러시아,국가,제품,체스니 즈낙,품목,목적:라벨링시스템적용;시기:2023
러시아,국가,제품,수입신고,품목,목적:수입신고절차;시기:2024
러시아,국가,제품,러시아,국가,수입규제,관세부과율:220%
러시아,국가,시장,생물학적활성첨가제,품목,정의:동식물광물기반;구분:뉴트라슈티컬,의약외품,유바이오틱스
러시아,국가,시장,2023시장규모,수치,1214억5200만루블
러시아,국가,시장,시장증가율,수치,1.1
러시아,국가,시장,연평균증가율,수치,3.5
러시아,국가,시장,기능성제품,목적,신체전반,소화계,중추신경계,골격계,생식계
러시아,국가,유통,오프라인,유통,점유율:82.9
러시아,국가,유통,온라인,유통,점유율:17.1
러시아,국가,약국,약국,수,약국수:78896
러시아,국가,약국체인,Rigla,기업,보유매장수:>7000;시기:2023
러시아,국가,약국체인,Aprel,기업,보유매장수:>7000;시기:2023
러시아,국가,약국체인,Erka-Pharm,기업,보유매장수:>2000;시기:2023
러시아,국가,약국체인,Melodiya,기업,보유매장수:>2000;시기:2023
러시아,국가,시장,온라인시장,품목,판매액:7조7000억루블;시기:2023
러시아,국가,시장,온라인시장,품목,전년비증가율:48.1
러시아,국가,시장,온라인시장,품목,연평균증가율:43.6
러시아,국가,브랜드,Evalar,기업,매출액순위:1위;시기:2023
러시아,국가,브랜드,GL S Pharmaceuticals,기업,매출액순위:2위;시기:2023
러시아,국가,브랜드,Solgar,기업,매출액순위:3위;시기:2023
러시아,국가,브랜드,Maxler,기업,매출액순위:4위;시기:2023
러시아,국가,브랜드,Miopharm,기업,매출액순위:5위;시기:2023
러시아,국가,브랜드,Solgar,기업,시장점유율:5.9;시기:2023
러시아,국가,브랜드,Nutrilite,기업,시장점유율:5.7;시기:2023
러시아,국가,브랜드,Magne B6,기업,시장점유율:4.2;시기:2023
러시아,국가,브랜드,한국산,기업,인식:품질·효과긍정적;시기:2024
러시아,국가,수입산,독일산,국가,비중:32;시기:2023
러시아,국가,수입산,미국산,국가,비중:32;시기:2023
러시아,국가,수입산,인도산,국가,비중:12;시기:2023
러시아,국가,수입산,프랑스산,국가,비중:10;시기:2023
러시아,국가,수입산,한국산,국가,비중:10;시기:2023
러시아,국가,소비자,평균소비량,수치,2.3개;시기:2021
러시아,국가,지역,시베리아,지역,소비자평균소비량:3.3개;시기:2021
러시아,국가,소비자,정기구매,비중,80%;시기:2023
러시아,국가,소비자,여성,구매비중,남성보다높음;시기:2023
러시아,국가,소비자,남성,구매비중,여성보다낮음;시기:2023
러시아,국가,소비자,비타민D3,구매비중,66%;시기:2023
러시아,국가,소비자,오메가3,구매비중,55%;시기:2023
러시아,국가,소비자,종합비타민,구매비중,51%;시기:2023
러시아,국가,소비자,피부·모발·손톱용,구매비중,49%;시기:2023
러시아,국가,소비자,면역력강화,구매비중,44%;시기:2023
러시아,국가,소비자,남성,구매비중,종합비타민:55%;시기:2023
러시아,국가,소비자,남성,구매비중,면역력강화:48%;시기:2023
러시아,국가,소비자,남성,구매비중,비타민D3:48%;시기:2023
러시아,국가,소비자,남성,구매비중,오메가3:46%;시기:2023
