엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,유자차,품목,시기:2024;지역:미국
유자차,품목,수입규모,미국,국가,시기:2024;수입량:40억달러
미국,국가,시장규모,잼&마멀레이드,품목,시기:2024;지역:미국
잼&마멀레이드,품목,시장규모,미국,국가,시기:2024;수입량:2.3조원
HS CODE 2008.30,품목,수입,미국,국가,시기:2023;수입액:4848억 원
테라비타,기업,브랜드,유자차,품목,시기:2024;브랜드명:Terravita
재패니즈그린티코,기업,브랜드,유자차,품목,시기:2024;브랜드명:JAPANESE GREEN TEA CO.
티젠,기업,브랜드,유자차,품목,시기:2024;브랜드명:TEAZEN
누미,기업,브랜드,유자차,품목,시기:2024;브랜드명:Numi
달라마리,기업,브랜드,유자차,품목,시기:2024;브랜드명:Dalamhari
전라남도,기업,브랜드,유자차,품목,시기:2024;브랜드명:Jeollanamdo
야미,기업,브랜드,유자차,품목,시기:2024;브랜드명:Yami
Costco Wholesale,기업,유통채널,유자차,품목,시기:2024;유통채널:Costco
H Mart,기업,유통채널,유자차,품목,시기:2024;유통채널:H Mart
Kroger,기업,유통채널,유자차,품목,시기:2024;유통채널:Kroger
Target,기업,유통채널,유자차,품목,시기:2024;유통채널:Target
Walmart,기업,유통채널,유자차,품목,시기:2024;유통채널:Walmart
Trader Joe's,기업,유통채널,유자차,품목,시기:2024;유통채널:Trader Joe's
이마트,기업,유통채널,유자차,품목,시기:2024;유통채널:E-Mart
아마존,기업,유통채널,유자차,품목,시기:2024;유통채널:Amazon
유자차,품목,가격범위,미국,국가,시기:2024;가격범위:10-20달러
유자차,품목,포장형태,스틱,형태,시기:2024;포장:130개 스틱
유자차,품목,중량,750g,중량,시기:2024
유자차,품목,가격,8.7달러,가격,시기:2024
유자차,품목,대상소비층,젊은층,소비자,시기:2024
유자차,품목,홍보경로,소셜미디어,경로,시기:2024;슬로건:"상큼한 시트러스와 함께 하루를 상쾌하게"
유자차,품목,시장수요,증가추세,시기:2024;트렌드:수요증가
유자차,품목,인기브랜드,Nonghyup,브랜드,시기:2024
유자차,품목,인기브랜드,Ottogi,브랜드,시기:2024
유자차,품목,인기브랜드,야미,브랜드,시기:2024
유자차,품목,수입액,2023,수입액,시기:2023;수입액:98억 원
유자차,품목,HS CODE,2008.30,코드,시기:2024
유자차,품목,인증,USDA Organic,인증,시기:2024
유자차,품목,인증,HACCP,인증,시기:2024
유자차,품목,인증,Halal,인증,시기:2024
유자차,품목,인증,Gluten-Free,인증,시기:2024
유자차,품목,인증,Vegan,인증,시기:2024
유자차,품목,라벨표기,영어,언어,시기:2024
유자차,품목,라벨표기,영문+외국어,언어,시기:2024
유자차,품목,유통경로,온라인,경로,시기:2024
유자차,품목,유통경로,오프라인,경로,시기:2024
유자차,품목,가격경쟁력,높음,경쟁력,시기:2024
유자차,품목,시장트렌드,증가,시기:2024
